firstName,lastName,ssn,emailAddress,phoneNumber,primarySkill,primarySkillType,primarySkillExperienceInYears,secondarySkill,secondarySkillType,secondarySkillExperienceInYears
FirstName1,LastName1,222222222,mahesh1@email.com1,1111111111,java,Technical,1,fullstack,Technical,5
FirstName2,LastName2,222222223,mahesh1@email.com2,1111111112,java,Technical,1,fullstack,Technical,5
FirstName3,LastName3,222222224,mahesh1@email.com3,1111111113,java,Technical,1,fullstack,Technical,5
FirstName4,LastName4,222222225,mahesh1@email.com4,1111111114,java,Technical,1,fullstack,Technical,5
FirstName5,LastName5,222222226,mahesh1@email.com5,1111111115,java,Technical,1,fullstack,Technical,5
FirstName6,LastName6,222222227,mahesh1@email.com6,1111111116,java,Technical,1,fullstack,Technical,5
FirstName7,LastName7,222222228,mahesh1@email.com7,1111111117,java,Technical,1,fullstack,Technical,5
FirstName8,LastName8,222222229,mahesh1@email.com8,1111111118,java,Technical,1,fullstack,Technical,5
FirstName9,LastName9,222222230,mahesh1@email.com9,1111111119,java,Technical,1,fullstack,Technical,5
FirstName10,LastName10,222222231,mahesh1@email.com10,1111111120,java,Technical,1,fullstack,Technical,5
FirstName11,LastName11,222222232,mahesh1@email.com11,1111111121,java,Technical,1,fullstack,Technical,5
FirstName12,LastName12,222222233,mahesh1@email.com12,1111111122,java,Technical,1,fullstack,Technical,5
FirstName13,LastName13,222222234,mahesh1@email.com13,1111111123,java,Technical,1,fullstack,Technical,5
FirstName14,LastName14,222222235,mahesh1@email.com14,1111111124,java,Technical,1,fullstack,Technical,5
FirstName15,LastName15,222222236,mahesh1@email.com15,1111111125,java,Technical,1,fullstack,Technical,5
FirstName16,LastName16,222222237,mahesh1@email.com16,1111111126,java,Technical,1,fullstack,Technical,5
FirstName17,LastName17,222222238,mahesh1@email.com17,1111111127,java,Technical,1,fullstack,Technical,5
FirstName18,LastName18,222222239,mahesh1@email.com18,1111111128,java,Technical,1,fullstack,Technical,5
FirstName19,LastName19,222222240,mahesh1@email.com19,1111111129,java,Technical,1,fullstack,Technical,5
FirstName20,LastName20,222222241,mahesh1@email.com20,1111111130,java,Technical,1,fullstack,Technical,5
FirstName21,LastName21,222222242,mahesh1@email.com21,1111111131,java,Technical,1,fullstack,Technical,5
